time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/clip_range
1,14.72,189,10,7915520,-0.2894,0.11554205417633057,-0.030304363963659854,0.21287381649017334,0.11689453125,-3.3863124370574953,0.012913898,0.0003,38640,1.0324692577123642,0.2
1,14.81,188,10,7917568,-0.21120000000000008,0.21962982416152954,-0.04066035726573318,0.10986538231372833,0.168408203125,-3.4692724287509917,0.018089648,0.0003,38650,0.741927170753479,0.2
1,8.49,187,10,7919616,0.34020000000000006,0.05080479383468628,-0.036973435984691605,0.08458173274993896,0.14052734375,-3.4489354312419893,0.016926857,0.0003,38660,0.7125510677695275,0.2
1,14.46,188,10,7921664,-0.18919999999999998,0.2938157320022583,-0.036771026183851065,0.06720823049545288,0.138818359375,-2.77055401802063,0.018127989,0.0003,38670,0.6308383487164975,0.2
1,14.51,188,10,7923712,-0.1752,0.08944886922836304,-0.039718592539429665,0.08519360423088074,0.163232421875,-3.407493072748184,0.01736319,0.0003,38680,0.7985907733440399,0.2
1,13.67,188,10,7925760,-0.18339999999999995,0.24291741847991943,-0.0389146476984024,0.04099506139755249,0.167138671875,-3.413072830438614,0.020664396,0.0003,38690,0.5666628837585449,0.2
1,13.72,189,10,7927808,0.08559999999999998,0.16661471128463745,-0.03957222916651517,0.06851300597190857,0.14931640625,-3.290297991037369,0.018459756,0.0003,38700,0.7132579043507576,0.2
1,11.86,188,10,7929856,0.16779999999999998,0.20853561162948608,-0.040876109548844394,-0.02655559778213501,0.159375,-3.3893267154693603,0.017746352,0.0003,38710,0.5223973661661148,0.2
1,8.05,187,10,7931904,0.15400000000000003,0.10362821817398071,-0.035080577933695165,0.09178878366947174,0.159814453125,-3.2090437352657317,0.018216427,0.0003,38720,0.7059730216860771,0.2
1,9.94,189,10,7933952,0.2962,0.06087738275527954,-0.03328894483856857,0.1835203766822815,0.13544921875,-2.8050510585308075,0.017775187,0.0003,38730,0.8781581163406372,0.2
1,9.87,187,10,7936000,-0.04739999999999999,0.2231764793395996,-0.039185128104873,0.08885008096694946,0.148095703125,-2.8904202818870544,0.018839004,0.0003,38740,0.6631451070308685,0.2
1,13.43,189,10,7938048,0.06639999999999999,0.008367776870727539,-0.0299271171214059,0.3194934129714966,0.160009765625,-3.005135953426361,0.017978622,0.0003,38750,1.0326200768351554,0.2
1,9.16,188,10,7940096,-0.013200000000000043,0.1644655466079712,-0.04223636039532721,0.06343735754489899,0.172314453125,-3.369530701637268,0.020384787,0.0003,38760,0.6340472444891929,0.2
1,14.2,187,10,7942144,0.05100000000000002,0.23648452758789062,-0.03368743094615638,0.43747490644454956,0.149169921875,-2.890956711769104,0.014773672,0.0003,38770,1.1436204612255096,0.2
1,10.15,187,10,7944192,-0.053000000000000026,0.025476157665252686,-0.03490294620860368,-0.03452304005622864,0.143505859375,-3.434374970197678,0.017290194,0.0003,38780,0.4838844634592533,0.2
1,15.44,189,10,7946240,0.1362,0.14960777759552002,-0.035050221858546136,0.28907692432403564,0.14541015625,-2.8998595774173737,0.014948465,0.0003,38790,1.0860695913434029,0.2
1,9.8,190,10,7948288,-0.311,0.07724237442016602,-0.04460759104695171,-0.04183173179626465,0.163720703125,-3.406478536128998,0.018909654,0.0003,38800,0.5178250230848789,0.2
1,15.48,188,10,7950336,-0.07959999999999999,0.17734014987945557,-0.03153567114495672,0.24384096264839172,0.135595703125,-2.9547345995903016,0.016108533,0.0003,38810,1.078824146091938,0.2
1,10.54,183,11,7952384,-0.00580000000000004,0.040532588958740234,-0.04260835284367204,0.02814905345439911,0.16513671875,-3.4667174339294435,0.018367661,0.0003,38820,0.6159386403858662,0.2
1,14.48,188,10,7954432,0.2004,0.1855584979057312,-0.03130645289784297,0.1987248659133911,0.118701171875,-2.9934763491153715,0.013204096,0.0003,38830,0.9657526552677155,0.2
1,14.63,190,10,7956480,-0.12260000000000001,0.02496969699859619,-0.04512342222733423,-0.058280572295188904,0.180859375,-3.4364026367664335,0.021814894,0.0003,38840,0.4393005333840847,0.2
1,9.94,187,10,7958528,-0.1238,0.027737677097320557,-0.043903141748160124,0.07097235321998596,0.179150390625,-3.4553815901279448,0.019717615,0.0003,38850,0.6606716036796569,0.2
1,9.82,184,11,7960576,0.20359999999999992,0.17665714025497437,-0.03513140932191163,0.3159388303756714,0.14033203125,-2.957312834262848,0.015164561,0.0003,38860,1.0754759192466736,0.2
1,11.46,181,11,7962624,-0.04420000000000002,0.2259579300880432,-0.03139818583149463,0.14957351982593536,0.143603515625,-2.8863960564136506,0.016398419,0.0003,38870,0.7731686383485794,0.2
1,9.17,185,11,7964672,0.1566,0.13354796171188354,-0.0323008262552321,0.30603206157684326,0.1150390625,-2.9177802562713624,0.012347072,0.0003,38880,1.0703614726662636,0.2
1,10.25,186,10,7966720,0.21999999999999997,0.10029435157775879,-0.034915313217788936,0.21154946088790894,0.164794921875,-2.9102532863616943,0.016576305,0.0003,38890,0.8068081215023994,0.2
1,5.57,180,11,7968768,-0.8363999999999998,0.1641068458557129,-0.03414283513557166,0.11246046423912048,0.149658203125,-2.8825663328170776,0.015456304,0.0003,38900,0.752807793021202,0.2
1,10.18,190,10,7970816,0.1864,0.11778861284255981,-0.015745989186689256,0.5069172382354736,0.111328125,-1.7540333122015,0.021483755,0.0003,38910,1.7544760197401046,0.2
1,12.01,187,10,7972864,-0.37520000000000003,-0.2411205768585205,-0.02415636182995513,0.17961391806602478,0.1154296875,-2.9648484349250794,0.021554954,0.0003,38920,0.9304254859685898,0.2
