time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/explained_variance,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_range
256000,1,20.66,0.1756810699999999,322,6,0.28383761644363403,-4.1105157971382145,0.082421875,0.0003,0.47793089635670183,0.011238074,1240,-0.032460461696609856,-0.07069459557533264,0.2
258048,1,19.6,0.22508815999999998,326,6,0.19618940353393555,-4.069721221923828,0.115185546875,0.0003,0.39382040612399577,0.014097943,1250,-0.03911687037907541,-0.13611850142478943,0.2
260096,1,19.07,0.18514357999999997,327,6,0.029220759868621826,-4.103383958339691,0.12177734375,0.0003,0.39783816896378993,0.016266726,1260,-0.038567605800926684,-0.12498055398464203,0.2
262144,1,18.56,0.4040948099999999,326,6,0.2124863862991333,-4.089200937747956,0.09638671875,0.0003,0.47638255059719087,0.013753267,1270,-0.03500570986652747,-0.10729236900806427,0.2
264192,1,19.41,0.44409153999999995,334,6,0.3108033537864685,-4.14655487537384,0.140234375,0.0003,0.31494495645165443,0.0150846075,1280,-0.03671151014277711,-0.15473952889442444,0.2
266240,1,21.4,0.12903936000000002,333,6,0.17400461435317993,-4.142918395996094,0.15419921875,0.0003,0.3699597593396902,0.015947169,1290,-0.03865676431450993,-0.1470317244529724,0.2
268288,1,20.46,0.25191258,330,6,0.23350292444229126,-4.135242092609405,0.09091796875,0.0003,0.4140985533595085,0.013430983,1300,-0.036746866162866355,-0.14570394158363342,0.2
270336,1,20.67,0.27049931,326,6,0.06325608491897583,-4.148570454120636,0.128564453125,0.0003,0.4107060257345438,0.015474911,1310,-0.04081660485826433,-0.12615305185317993,0.2
272384,1,21.02,0.3495353200000001,327,6,0.16182982921600342,-4.164460694789886,0.081201171875,0.0003,0.36839130260050296,0.013969425,1320,-0.03713526824722067,-0.15142303705215454,0.2
274432,1,21.08,0.18039570000000002,328,6,0.17380130290985107,-4.101726508140564,0.124609375,0.0003,0.35235502012073994,0.014463572,1330,-0.03915369701571762,-0.15968050062656403,0.2
276480,1,20.46,0.15874193,333,6,0.09276020526885986,-4.0570396184921265,0.137255859375,0.0003,0.3465414710342884,0.014023204,1340,-0.03850179112632759,-0.15121175348758698,0.2
278528,1,20.13,0.14822207,331,6,0.10226887464523315,-4.084537756443024,0.089697265625,0.0003,0.429859172180295,0.012506166,1350,-0.033737074583768845,-0.13558682799339294,0.2
